小韻次序	代表字	全部字	反切	編碼	切韻拼音	unt切韻擬音L	unt切韻擬音J	潘悟雲擬音
170	眉	眉睂嵋湄𤃱鶥楣瑂矀覹䉠黴麋蘪郿㵟薇𦗕葿攗	武悲	DGE	myi	mɹi	mɹi	mɣi˧
171	悲	悲	府眉	AGE	pyi	pɹi	pɹi	pɣi˧
172	錐	錐隹𪋇騅㮅䶆萑鵻	職追	XGI	tjwi	tɕwi	tɕwi	tɕʷi˧
173	誰	誰䜅脽	視隹	ZGI	djwi	dʑwi	dʑwi	dʑʷi˧
174	帷	帷	洧悲	kGI	ui	wɹi	wɹi	ɦʷi˧
175	邳	邳鉟䲹岯魾䫠	符悲	CGE	byi	bɹi	bɹi	bɣi˧
176	丕	丕㔻伾秠䪹駓怌䫠豾髬魾鉟	敷悲	BGE	phyi	pʰɹi	pʰɹi	pʰɣi˧
177	倠	倠婎睢眭𢊄𢊿	許維	iGI	hwi	xwi	xwi	hʷi˧
178	鎚	鎚椎槌桘顀	直追	LGI	drwi	ɖwi	ɖwi	ɖʷi˧
179	推	推蓷	尺隹	YGI	tjhwi	tɕʰwi	tɕʰwi	tɕʰʷi˧
180	胝	胝疷秪氐	丁尼	JGA	tri	ʈi	ʈi	ʈi˧
181	紕	紕㩺𦀘𧧺悂𢞗	匹夷	BGA	phi	pʰi	pʰi	pʰi˧
182	嶉	嶉檇	醉綏	NGI	tswi	tswi	tswi	tsʷi˧
183	巋	巋蘬	丘追	eGM	khui	kʰɹwi	kʰɹwi	kʰʷɣi˧
184	狋	狋	牛肌	gGE	ngyi	ŋɹi	ŋɹi	ŋɣi˧
185	咦	咦忾䐅𣢂屎	喜夷	iGA	hi	xi	xi	hi˧
186	之	之臸芝㞢	止而	XHA	tjy	tɕɨ	tɕɨ	tɕɨ˧
187	飴	飴𩛛䬮怡弬媐异㼢𣐵鏔圯貽巸洍𦣝𩠞頤詒㺿沶宧𦚟䱌姬台眙瓵	與之	lHA	jy	jɨ	jɨ	jɨ˧
188	時	時旹塒鼭榯蒔鰣	市之	ZHA	djy	dʑɨ	dʑɨ	dʑɨ˧
189	疑	疑嶷觺	語其	gHA	ngy	ŋɨ	ŋɨ	ŋɨ˧
190	思	思恖司罳伺絲緦𥯨禗覗㺇𥄶蕬偲楒	息兹	QHA	sy	sjɨ	sjɨ	sɨ˧
191	輜	輜颸	楚持	THA	tsrhy	tʂʰɨ	tʂʰɨ	tʂʰɨ˧
192	其	其期旗綦綨𢃛萁𧯯蜝琪麒騏淇䳢錤藄棊櫀碁𤪌璂鯕蘄祺禥踑𦪆䑴畁䶞	渠之	fHA	gy	ɡɨ	ɡɨ	ɡɨ˧
193	詩	詩邿齝𪗪呞䀢	書之	aHA	sjy	ɕɨ	ɕɨ	ɕɨ˧
194	而	而栭𣚊𨼏陾陑髵峏𨎪輀𦠌胹𦓒𩰴洏鮞耏咡䎠誀鴯	如之	cHA	njy	ɲɨ	ɲɨ	ȵɨ˧
195	欺	欺娸䫥䫏𠐾魌僛𪅾𪀩䶞抾	去其	eHA	khy	kʰɨ	kʰɨ	kʰɨ˧
196	姬	姬朞稘基箕萁䇫諅其錤居諆	居之	dHA	ky	kɨ	kɨ	kɨ˧
197	詞	詞祠柌辭辤辝𥿆	似兹	RHA	zy	zjɨ	zjɨ	zɨ˧
198	釐	釐貍狸氂嫠剺梩犛𣁟倈艃𣮉孷𢟤𩭇㾖筣斄𠩬𠭰	里之	IHA	ly	lɨ	lɨ	lɨ˧
199	菑	葘甾𦸜湽𥀜茬輺鍿鶅緇䊷椔鯔䎩䣎	側持	SHA	tsry	tʂɨ	tʂɨ	tʂɨ˧
200	僖	僖歖熙嬉禧媐譆𠩺瞦㶼熹嘻𣢑娭誒	許其	iHA	hy	xɨ	xɨ	hɨ˧
201	醫	醫毉譩㿄噫	於其	hHA	qy	ʔɨ	ʔɨ	ʔɨ˧
202	癡	癡齝笞痴	丑之	KHA	trhy	ʈʰɨ	ʈʰɨ	ʈʰɨ˧
203	治	治持莉	直之	LHA	dry	ɖɨ	ɖɨ	ɖɨ˧
204	蚩	蚩嗤妛媸𦐉𣍆𥉍	赤之	YHA	tjhy	tɕʰɨ	tɕʰɨ	tɕʰɨ˧
205	慈	慈礠鶿濨兹	疾之	PHA	dzy	dzjɨ	dzjɨ	dzɨ˧
206	兹	兹孳嵫孜滋嗞𪑿鎡孖鼒鰦仔鷀稵	子之	NHA	tsy	tsjɨ	tsjɨ	tsɨ˧
207	茬	茬	士之	UHA	dzry	dʐɨ	dʐɨ	dʐɨ˧
208	漦	漦	俟甾	WHA	zry	ʐɨ	ʐɨ	ʐɨ˧
209	抾	抾	丘乏	e8D	khyop	kʰəp	kʰj̈əp	kʰɨap꜊
210	䀵	䀵	式其	aHA	sjy	ɕɨ	ɕɨ	ɕɨ˧
211	微	微𢼸㵟薇䉠䥩癓矀	無非	DIA	muj	muj	mʋuj	mu̯ɨi˧
212	揮	揮煇輝暉徽翬褘鰴楎幑瀈㫎𤟤	許歸	iII	huj	xuj	xuj	hʷɨi˧
213	幃	幃韋闈圍䙟𩎯違湋囗鍏潿婔𧝕𠆎𢾁	雨非	kII	uj	wuj	wuj	ɦʷɨi˧
214	霏	霏䬠妃菲䩁婓騑裶𥇖	芳非	BIA	phuj	pʰuj	pʰʋuj	pʰu̯ɨi˧
