小韻號	廣韻對應小韻號	代表字	全部字	反切
135	147	毗	𣬈比琵㮰芘阰貔膍蚍枇仳𨈚𣬈𦳈魮𣬉	房脂
136	148	咨	咨資粢𪗋諮姿齍澬齎蒫𩆂	即夷
137	149	飢	飢饑肌	居脂
138	150	鴟	鴟胵𩶅𧪡鵄	處脂
139	151	絺	絺辴郗	丑脂
140	152	郪	郪趑䡨𧠵㞖𧺡	取私
141	153	茨	茨薋餈垐𧓉䆅𥿆䡨資蠀	疾脂
142	154	尼	尼柅怩蚭	女脂
143	155	墀	𡎰坻泜遟蚳彽岻貾荎謘	直尼
144	156	私	私錗㺨厶𦮺	息脂
145	157	尸	尸鳲屍蓍	式脂
146	158	鬐	鬐耆𨪌鰭鮨祁𧡺𦔌	渠脂
147	159	伊	伊咿蛜黟	於脂
148	160	梨	梨𠠍䅻秜蜊䔧黎黧鑗𪐁䴻蟍𢤂𣁟𠭰	力脂
149	161	葵	葵鄈楑𩹍𦝢𢜽䳫	渠隹
150	162	追	追䨨娺	陟隹
151	163	龜	龜跰	居追
152	164	蕤	蕤緌桵檽㮃	儒隹
153	165	衰	衰榱𤸬	所追
154	166	惟	惟𣄧壝維琟遺濰唯䜅𧔥	以隹
155	167	㶟	㶟纍樏虆㹎嫘㠥瓃儽𥉹鸓縲	力追
156	168	綏	綏雖荽浽睢䅑葰	息遺
157	169	逵	逵夔騤戣䟸𠊾𠐽𩒶𧢦𢌳	渠追
158	170	眉	眉湄楣瑂矀黴䉠麋蘪鶥葿	武悲
159	171	悲	悲	府眉
160	172	錐	錐隹𪋇鵻騅萑䶆	職維
161	173	誰	誰睢	視隹
162	174	帷	帷	洧悲
163	175	邳	𨚀岯𩵣𩓭	符悲
164	176	丕	丕伓𥝣䪹駓豾	敷悲
165	177	倠	倠睢眭𢊄	許維
166	178	鎚	鎚槌顀椎	直追
167	179	推	推	尺隹
168	180	胝	胝秪	丁私
169	181	紕	紕	匹夷
170	182	嶉	嶉欈	醉唯
171	184	狋	狋	牛肌
172	183	巋	巋衰	丘追
173	186	之	之芝臸	止而
174	187	飴	飴怡圯貽頤詒㺿宧沶𦚟䱌姬㼢瓵𡱐㭒鏔异洍	与之
175	188	時	時塒鼭	市之
176	189	疑	疑㠜觺	語基
177	190	思	思司罳絲伺緦楒𥯨禗覗㺇	息兹
178	191	輜	輜颸	楚持
179	192	其	其期旗萁騏蜝琪綦麒淇䳢藄錤棊𤪌鯕祺綨䶞䑴𢍄	渠之
180	193	詩	詩邿	書之
181	194	而	而栭檽隭轜臑洏鮞耏咡䎠誀荋	如之
182	195	欺	欺娸䫥䫏僛䳢	去其
183	196	姬	姬朞基箕萁䇫諆	居之
184	197	詞	詞祠柌辭辤	似兹
185	198	釐	釐貍氂嫠剺梩犛艃𣮉孷𢟤漦	理之
186	199	甾	甾䎩葘湽輺鍿緇鶅椔鯔䣎	側持
187	200	僖	僖歖煕嬉禧譆熹𠩺瞦㶼嘻𣢑媐娭暿	許其
188	201	毉	毉噫㿄	於其
189	202	癡	癡齝笞痴	丑之
190	203	治	治持	直之
191	204	蚩	蚩嗤𣍆𦐉媸妛	尺之
192	205	慈	慈礠鶿	疾之
193	206	兹	兹孳嵫孜滋嗞𪑿鎡鼒鰦孖仔	子慈
194	207	茬	茬	士之
195	208	漦	漦	俟淄
196	211	微	微㵟䉠薇䥩	無非
197	212	輝	輝揮徽翬褘鰴瀈㫎楎幑	許歸
198	213	幃	幃闈圍韋𩎯違湋潿鍏𢾁䙟𠆎𧝕	王非
199	214	霏	霏妃菲䩁婓騑𥇖	芳非
200	215	奜	奜飛扉緋非𩙲𩹉騛	匪肥
201	216	肥	肥腓䈈𤷂淝𨛬蟦蜰	符非
202	217	威	威葳㟪隇蝛媁楲	於非
203	218	祈	祈頎旂𩴆畿崎㔕蘄𧰙𦠄肵玂	渠希
204	219	機	機譏蘄嘰璣幾𦺬磯鞿饑禨𧗒鐖刉飢	居希
205	220	希	希晞莃鵗睎稀䟇桸	虛機
206	221	依	依衣譩䧇㥋郼	於機
207	222	沂	沂	魚機
208	225	蘬	蘬	丘韋
209	224	歸	歸	俱韋
210	223	巍	巍犩	語韋
211	226	魚	魚漁䱷齬鋙䁩	語居
212	227	初	初	楚魚
213	228	書	書鵨瑹舒紓𨛭𦺗	傷魚
214	229	居	居据裾琚䝻鶋涺𦱅腒	舉魚
215	230	渠	渠𨎶𦂘璩磲蕖籧𥴧淭醵腒𪆫螶㯫𦼫蘧䟊𦼫蟝豦璩	強魚
216	231	余	余蜍餘輿旟䳜璵艅畬㶛歟譽嬩舁妤𪋮𩦡㦛𧾚𥷔雓	与魚
217	232	胥	胥䱬䈝湑稰楈蝑揟諝	息魚
218	233	疽	疽岨趄苴沮狙雎䏣蒩䢸坥覰𡳆	七余
219	234	鋤	鋤鉏豠	助魚
220	235	攄	櫖㯉筡	勅居
221	236	疏	踈綀𬞞梳䟽㽰𤕟釃疋	色魚
222	237	虛	虛驉歔嘘魖	許魚
223	238	徐	徐䣄䍱俆	似魚
224	239	於	於箊淤菸唹	央魚
225	240	猪	猪櫫瀦	陟魚
226	241	臚	臚䰕閭廬蘆驢櫚蘆䕡爐	力魚
227	242	諸	諸櫧㶆藷䃴𧄔	章魚
228	243	除	除躇儲涂篨𦿀宁藷著𤶠	直魚
229	244	如	如蕠洳鴽𨚴𡫽	汝魚
230	245	且	且砠蛆	子魚
231	246	墟	墟𥬔袪阹椐𣚛胠㭕	去魚
232	247	葅	葅俎䶥	側魚
233	248	蜍	蜍稌	署魚
234	249	袽	袽帤挐蒘	女余
235	250	虞	虞愚娛湡堣𪃍嵎禺髃隅䴁鰅齵澞鍝鸆𧍪	語俱
236	251	芻	芻	測禺
237	252	無	無毋膴瞴蕪誣巫莁璑𨼊䉑墲鵐无憮	武夫
238	253	于	于盂迂邘𩁹竽玗骬謣𠌶䩒𧘘	羽俱
239	254	訏	訏吁䏏𩁹欨㽳盱𧘷㰭𣚏虖𢖳杅	況于
240	255	欨	欨衢軥氍朐䧁癯𡱺鴝灈躣翵鼩鑺蘧斪蚼𪓞蒟欋姁𧾱痀葋絇臞	其俱
241	256	儒	儒獳濡襦懦嚅鱬顬䰰	日朱
242	257	鬚	䰅𩓣須繻𩒧嬃需𪋯蕦隃	相俞
243	258	株	株誅邾蛛跦鴸𪏿	陟輸
244	259	貙	貙	勅俱
245	260	殊	殊銖洙茱㼡殳杸㸡	市朱
246	261	逾	逾窬臾楰𦚤隃鄃覦𨵦俞諛愉歈榆褕瑜崳㥚羭蝓萸堬榆牏䜽㼶萮渝臽踰	羊朱
247	262	區	區嶇鰸驅摳軀	氣俱
248	263	朱	朱珠侏咮鴸絑袾	止俱
249	264	趨	趨	七朱
250	265	慺	慺蔞氀瞜䱾㟺鷜摟㺏𤗬貗膢𡝤	力朱
251	266	扶	扶芙颫符鳧榑枎苻蚨夫𣘧坿𤱁𦽏𣿆泭	附夫
252	267	䅳	䅳雛	士于
253	269	敷	敷麩孚郛鄜鋪筟俘痡殍怤䎔𧀮孵紨㕊㲗䓵稃秿豧郙𩓣䓏罦	撫扶
254	270	諏	諏㖩𡸨娵嶉掫	子于
255	271	跗	跗膚邞鈇衭玞𩿧𧀴簠夫鳺𩵩柎	甫于
256	272	紆	紆䩒陓杅蓲㝼䩽䣿虶迂	憶俱
257	273	輸	輸鄃	式朱
258	274	樞	樞姝䇬	昌朱
259	275	廚	𢊍𨅒	直朱
260	276	拘	拘駒岣瞿𨞜梂跔鮈俱𥗫𥈜	舉隅
261	277	毹	毹㡏橾	山虞
262	278	模	模摸嫫㡔𨡭謨撫𡠜䉑	莫胡
263	279	匍	匍荹酺樸菩䔕蒱	薄胡
264	280	胡	胡壷狐瓳餬瑚𩑶鶘猢醐𪍒弧乎箶㾰㯛𧛞湖𪕱	戶吳
265	281	孤	孤苽姑辜呱罛𣲖酤觚蛄箛鴣橭𠷞沽嫴䐻胍𧇡䉉㼋柧	古胡
266	282	徒	徒屠瘏塗途峹酴駼𤙛鵌涂㭸荼䤅啚圖𤺈䖘䣝捈䔑𭱻	度都
267	283	奴	奴砮駑帑孥笯	乃胡
268	284	呼	呼膴幠葫恗䰧謼虍	荒烏
269	285	吾	吾吳鼯浯䓊㹳㻍蜈郚梧𩶭𩺰	五胡
270	286	租	租蒩	則胡
271	287	盧	盧鑪壚籚蘆顱鱸攎櫨爐轤黸獹鸕艫纑瓐䰕𧆨𦿊廬㪭蠦㭔	落胡
272	288	蘇	蘓穌㢝	息吾
273	289	殂	殂徂虘	昨姑
274	290	烏	烏杇洿鰞釫歍鎢弙瑦㮧鴮螐𢗃於嗚	哀都
275	291	逋	逋鋪餔晡庯抪𧻷鵏	博孤
276	292	枯	枯刳郀圩弙軲橭	苦胡
277	293	麁	麁麤𧆓	倉胡
278	294	㻌	㻌稌𤨹梌䞮	他胡
279	295	都	都𥳉闍醏	丁姑
280	296	𥠵	𥠵鋪𩹲𨁏痡陠	普胡
281	297	齊	齊臍麡蠐䶒𨥦𪗍	徂嵇
282	298	黎	黎犁廲藜筣黧𦃇盠邌𨛫㦒謧𩦄𨿯鯬	落奚
283	299	妻	妻萋淒凄悽霋鶈緀齌	七嵇
284	300	低	低氐袛磾鞮腣羝䐎䬫㓳氐䚣𥿄揥隄奃𡰖	當嵇
285	301	啼	啼蹄𥶛提詆瑅隄桋題媞𧡨綈罤𣹲締稊䬾醍騠褆鵜荑𨪉𡰄厗𪂿鷤𧋘眱睼謕趧𤭌蕛銻䱱㥴𢕌禔	度嵇
286	302	豍	豍㡙螕㯅𦱔𦀘篦梐𥏠悂狴䚜箄	方奚
287	304	奚	奚𭖽兮鼷豯傒㜎蹊螇榽騱胿郋𪓷	胡雞
288	303	雞	鷄稽㮷枅笄䗗𨯀卟	古嵇
289	305	鷖	鷖翳𧫦嫛䃜㙠𣕁繄黳黟	烏雞
290	306	倪	倪齯蜺婗輗猊鯢郳㪒麑䘽兒	五嵇
291	307	醯	醯䒊𦫬忚𣕆	呼雞
292	308	西	西棲㽄犀嘶撕㾷㯕屖𤺊𧬊𠞂	素雞
293	309	梯	梯睇鷈㔸䖙謕𣤢	湯稽
294	310	鼙	鼙𣔬膍㼰	薄迷
295	319	臡	臡	人兮
296	311	批	批錍𠜱𪄆	普雞
297	312	齎	齎韲躋櫅䂑啙𨥳䐡	即黎
298	313	迷	迷𡝠麛䤍𧠠	莫奚
299	314	泥	泥屔臡	奴低
300	315	谿	谿䀘𤳤	苦嵇
301	316	圭	圭珪邽閨袿𡌲胿㰪麈鮭𦓯𤮰	古攜
302	317	睽	睽奎湀刲茥䯓藈䖯蝰楏	苦圭
303	318	攜	攜蠵鑴𦋅𩰳畦巂酅𢥘𡸔𲉨䀘眭㔒	戶圭
304	320	栘	栘	成西
305	322	睳	睳	呼圭
306	321	烓	烓	烏攜
307	323	佳	佳街	古膎
308	324	膎	膎鞵㥟㨙䙎	戶佳
309	325	牌	牌䱝𥱼郫犤	薄佳
310	326	媧	媧緺𧬭騧蝸腡歄	姑柴
311	327	蛙	蛙	烏緺
312	328	絓	絓喎	
313	329	柴	柴祡𪗶茈㾹㧘𨌅	士佳
314	330	釵	釵靫叉䐤𠞊㼮	楚佳
315	331	竵	竵𠿎𦶎	火咼
316	332	䍲	䍲誽	妳佳
317	333	崖	崖啀涯𪘲𩂢厓	五佳
318	334	娃	娃洼哇唲	於佳
319	335	崽	崽籭	山佳
320	336	㗨	㗨㰨	火佳
321	337	扠	扠	丑佳
322	338	𧸏	𧸏𩍃	莫佳
323	335	諰	諰	所柴
324	340	皆	皆偕䕸喈階𦝨薢荄痎堦𤭧𩘅鍇鶛	古諧
325	342	諧	諧湝骸瑎𩤠龤䓳	戶皆
326	343	排	排輫俳牌𩑢	步皆
327	344	乖	乖	古懷
328	345	懷	懷褱櫰𪊉㠢𤜄淮㜳	戶乖
329	346	匯	匯㨤㔞	苦淮
330	347	豺	豺儕𨌅𡺵	士諧
331	348	差	差䞗	楚皆
332	349	虺	虺	呼懷
333	351	埋	埋霾㦟	莫皆
334	352	齋	齋	側皆
335	353	崴	崴溾𪊉	乙乖
336	354	𪘨	𪘨	卓皆
337	356	揩	揩𦂄	客皆
338	357	摨	搱	諾皆
339	361	俙	俙	呼皆
340	364	灰	灰䖶豗㾯	呼恢
341	365	恢	恢詼悝魁䈛顝	苦回
342	366	隈	隈煨䋿椳偎𩗯𧤖	烏恢
343	367	回	回洄徊迴瑰槐蚘𤜡烠	戶恢
344	368	枚	枚媒玫梅煤脢脄腜禖䍙鋂莓	莫盃
345	369	瓌	瓌傀䕇櫰	公迴
346	370	雷	雷罍儡㔣畾㽌轠瓃	路回
347	371	穨	穨㿉墤魋𤗴頽撴𫏩𧮓藬㢈	杜回
348	372	崔	崔催縗	此回
349	373	磓	磓䭔堆頧槌	都回
350	375	摧	摧崔慛欈	昨回
351	374	𤗯	𤗯桵𩌩	素回
352	376	裴	裴徘培陪𨛬䪹輫	薄恢
353	377	杯	杯	布回
354	378	肧	肧坏㾦醅衃	芳杯
355	379	鮠	鮠桅嵬	五回
356	380	𨌴	𨌴蓷㞜推	他回
357	381	𢅼	𢅼捼	乃回
358	382	脧	脧𡲾	子回
359	383	咍	咍𨸜	呼來
360	384	開	開㱾㚊	苦哀
361	385	哀	哀埃唉欸㶼	烏開
362	386	臺	臺擡菭炱嬯薹跆䈚苔	徒哀
363	387	該	該豥垓荄郂㱯剴陔姟䬵祴䶣絯胲賅䀭	古哀
364	388	裁	裁纔財材䴭𦬁才	昨來
365	389	來	來萊郲騋崍斄𣮉鶆鯠𧳟麳棶琜𤲓徠𪑚庲淶逨	落哀
366	390	災	灾栽哉睵渽	祖才
367	391	猜	猜偲䞗	倉來
368	393	胎	胎鮐台邰	湯來
369	394	孩	孩咳䠽頦㨟𧻲䱺豥	胡來
370	395	鰓	鰓揌粞䚡	蘇來
371	396	皚	皚嵦敳㱯剴䐩隑	五來
372	397	能	能㾍	年來
373	392	𤗏	𤗏棓	扶來
374	398	𪒴	𪒴	丁來
375	401	真	眞甄振禛畛唇籈薽蒖桭磌帪稹	職鄰
376	445	春	春	昌脣
377	440	脣	脣䔚漘	食倫
378	447	勻	勻	羊倫
379	441	淪	淪倫論䑳輪陯鯩蜦棆綸惀踚	力屯
380	442	屯	屯窀㡒	陟倫
381	438	純	純蓴蒓醇鶉𢗋錞淳陙𡗥	常倫
382	439	犉	犉瞤𩀋	如均
383	403	因	因茵禋闉駰烟湮氤垔諲姻栶茵裀絪洇	於鄰
384	414	珍	珎塡鎭	陟鄰
385	404	新	新辛薪	思鄰
386	405	辰	辰晨宸鷐麎臣屒茞敐䣅䢻	植鄰
387	406	仁	仁人朲	如鄰
388	410	申	申伸娠紳呻身胂㑗𥆣䰠	書鄰
389	407	神	神䢅	食鄰
390	402	𤣆	𤣆縝侲	丑珍
391	412	鄰	鄰轔嶙亃疄麟驎駗鱗翷𩻿𦺸壣鏻繗𧲂	力珍
392	413	𥎊	𥎊堇魿	巨巾
393	415	陳	陳䍶塵敶趁	直珍
394	416	津	津璡濜	將鄰
395	417	瞋	瞋䐜𣞟	昌鄰
396	418	秦	秦螓𤚩	匠鄰
397	408	親	親	七鄰
398	409	礥	礥	下殄
399	419	夤	夤寅𦟘蔩	余真
400	423	銀	銀㹞䖜檭鄞圁誾珢泿嚚	語巾
401	420	紉	紉	女人
402	424	巾	巾	居鄰
403	433	民	民閺泯	彌鄰
404	411	賓	賓濱檳顮矉䚔	必鄰
405	437	荀	荀郇詢眴峋珣𣖆栒洵恂㰬橁檈畇姰	相倫
406	444	遵	遵跧	將倫
407	443	逡	逡竣皴㕙墫竴踆夋捘	七旬
408	448	旬	旬巡馴循揗㸪紃畇㽦灥䋸𧽾楯	詳遵
409	422	頻	頻嬪蘋㰋玭蠙獱顰嚬𨏞䚔	符鄰
410	421	繽	繽䎙𢣐	敷賓
411	449	均	均鈞袀	居春
412	446	鷷	鷷	昨勻
413	435	椿	椿輴櫄杶	勅屯
414	436	䣩	䣩㡒	丈倫
415	435	鶞	鶞	勅屯
416	434	諄	諄肫	之純
417	430	𪔱	𪔱	於巾
418	431	贇	贇奫頵蝹㚃	於倫
419	427	囷	囷箘箟	去倫
420	432	斌	斌玢豳彬虨份𥇖汃攽	鄙□
421	428	珉	珉㞴闉罠緍𩑥䲭𥫽旻旼痻𨥌捪忞盿	武巾
422	429	貧	貧	符巾
423	426	筠	筠縜	王麕
424	425	麕	麕頵汮	居筠
425	452	臻	臻蓁搸溱亲	側詵
426	453	莘	莘㜪扟駪籸䯂甡兟詵侁㾕燊阠	疏臻
427	454	榛	榛	仕臻
428	455	文	文聞蚊彣紋馼鳼闅汶鼤閩𢾿	武分
429	456	雲	雲芸蕓鄖妘紜溳澐篔云耘耺愪沄𧶊䢵	王分
430	457	煴	煴氲緼馧䡝藴㚃蒀	於云
431	458	汾	汾墳𣱦𪔵轒濆焚羒豶頒羵䴅枌蕡黂棼䫶肦葐𧮱鐼橨幩	符分
432	459	分	分𡊅饙𣯻	府文
433	460	羣	羣裠宭𤸷㪊	渠云
434	461	薫	薫曛纁勲𤋱勛醺葷臐𡼡獯	許云
435	462	君	君軍皸桾宭	舉云
436	463	芬	芬雰紛帉𣬩𦐈氛㞣棻	撫云
437	465	殷	殷慇㶏	於斤
438	466	勤	勤芹廑慬	其斤
439	467	斤	斤筋	舉忻
440	464	欣	欣昕邤	許斤
441	468	䖐	䖐㹜齗圻䓄䴦𪛊圁鄞斦	語斤
442	469	元	元原源杬嫄沅騵羱黿蚖芫𧔞邧謜蒝榞㹉	愚袁
443	470	袁	袁爰垣園援榬轅猿鶢𧻚	韋元
444	472	飜	飜旛畨幡𤃳𤄜	孚袁
445	473	暄	暄喧萱䁔諼塤䳦吅喛愋讙䚙蝖翧䚭	況袁
446	471	煩	煩繁薠𢶃樊繙燔膰瀿羳蹯𩐏鷭蟠蠜蘩礬𪖇𨟄鐇璠𢐮棥緐藩墦𧢜𨆌𤃳旛蕃𩧅𥘽襎	附袁
447	474	鴛	鴛冤㠾鵷𣹠惌䥉宛𡟰𩝜蒬葾𩌑	於袁
448	475	言	言琂甗䓂	語軒
449	476	攑	攑䞿	丘言
450	477	軒	軒掀鶱䡣蓒䞿	虛言
451	478	𢳚	𢳚靬鞬騝㓺腱䭈𩱡	居言
452	479	蔫	蔫	謁言
453	480	蕃	蕃藩𨎚	甫煩
454	481	𥴤	𥴤赶	渠言
455	483	魂	魂㮯䮝𤟤餛䴷鼲楎渾㑮䡣堚	戶昆
456	484	昆	昆菎褌崐琨鵾鯤蜫騉㱎	古渾
457	485	温	温輼蕰𩥈	烏渾
458	486	門	門捫樠𧄸璊忯䫒𪈿䟂䊟	莫奔
459	487	孫	孫蓀飱搎蕵	思渾
460	488	尊	尊樽嶟	即昆
461	489	存	存蹲	徂尊
462	490	敦	敦惇𤭞弴	都昆
463	491	暾	暾焞涒黗𪏆啍蜳	他昆
464	492	屯	屯肫窀臋軘飩𥴫忳𡱂𪎶𤫭芚啍	徒渾
465	493	村	村	此尊
466	494	㑮	㑮	牛昆
467	495	盆	盆葐湓鳻	蒲昆
468	496	奔	奔賁䴅	博昆
469	497	論	論崘菕	盧昆
470	498	坤	坤髡𩒱髖	苦昆
471	499	昏	昏惛婚棔閽𣣏殙	呼昆
472	501	黁	黁	
473	502	痕	痕拫鞎𢳃	戶恩
474	503	根	根跟	古痕
475	504	恩	恩𤇯	烏痕
476	505	吞	吞	吐根
477	506	垠	垠	五根
478	507	寒	寒韓𦺦翰邯雗豻	胡安
479	522	桓	桓完䴟𩾞丸瓛紈雚雈洹汍絙芄獂梡峘𦎔㿪貆䎠垸寏𦯜𦺊荁𦀸	胡官
480	525	剜	剜眢豌婠	一丸
481	531	鑾	鑾鸞巒欒䜌灓㱍羉𧄶矕	落官
482	523	岏	岏刓黿䯈羱𠒢䬧	五丸
483	529	欑	攢巑穳	在丸
484	533	寛	寛髖	苦官
485	532	歡	歡貛貆𪈩𩿊酄𣎅獾貛	呼丸
486	526	湍	湍貒煓䵎𪏆	他端
487	527	酸	酸狻痠𩆑	素丸
488	524	端	端褍剬𧤗耑竱𥵣鍴𥠄	多官
489	534	鑚	鑽䡽	借官
490	530	官	官莞棺觀貫冠涫悹毌	古丸
491	528	團	團篿剸摶慱漙鄟𩅂𪆃	度官
492	509	單	單襌鄲丹殫簞䐷匰	都寒
493	510	安	安䀂鞌䢿侒	烏寒
494	517	干	干乾竿肝奸鳱玕邗㿻𢧀𨝌	古寒
495	515	壇	壇檀鷤癉撣彈驒聅唌貚	徒干
